Time[s], 通道 0, 通道 1
0.00148324, 0, 0
0.00148384, 1, 0
0.00148657, 0, 0
0.00148717, 0, 1
0.00148992, 0, 0
0.00149052, 1, 0
0.00149325, 0, 0
0.00149385, 0, 1
0.00149660, 0, 0
0.00149720, 1, 0
0.00149993, 0, 0
0.00150053, 0, 1
0.00150328, 0, 0
0.00150388, 1, 0
0.00150661, 0, 0
0.00150721, 0, 1
0.00150996, 0, 0
0.00151056, 1, 0
0.00151329, 0, 0
0.00151389, 0, 1
0.00151664, 0, 0
0.00151723, 1, 0
0.00151997, 0, 0
0.00152057, 0, 1
0.00152331, 0, 0
0.00152391, 1, 0
0.00152665, 0, 0
0.00152725, 0, 1
0.00152999, 0, 0
0.00153059, 1, 0
0.00153333, 0, 0
0.00153392, 0, 1
0.00153667, 0, 0
0.00153727, 1, 0
0.00154001, 0, 0
0.00154060, 0, 1
0.00154335, 0, 0
0.00154395, 1, 0
0.00154669, 0, 0
0.00154728, 0, 1
0.00155003, 0, 0
0.00155063, 1, 0
0.00155337, 0, 0
0.00155396, 0, 1
0.00155671, 0, 0
0.00155731, 1, 0
0.00156005, 0, 0
0.00156064, 0, 1
0.00156339, 0, 0
0.00156399, 1, 0
0.00156673, 0, 0
0.00156732, 0, 1
0.00157007, 0, 0
0.00157067, 1, 0
0.00157341, 0, 0
0.00157400, 0, 1
0.00157675, 0, 0
0.00157735, 1, 0
0.00158009, 0, 0
0.00158068, 0, 1
0.00158343, 0, 0
0.00158403, 1, 0
0.00158677, 0, 0
0.00158736, 0, 1
0.00159011, 0, 0
0.00159071, 1, 0
0.00159345, 0, 0
0.00159404, 0, 1
0.00159679, 0, 0
0.00159739, 1, 0
0.00160012, 0, 0
0.00160072, 0, 1
0.00160347, 0, 0
0.00160407, 1, 0
0.00160680, 0, 0
0.00160740, 0, 1
0.00161015, 0, 0
0.00161075, 1, 0
0.00161348, 0, 0
0.00161408, 0, 1
0.00161683, 0, 0
0.00161743, 1, 0
0.00162016, 0, 0
0.00162076, 0, 1
0.00162351, 0, 0
0.00162411, 1, 0
0.00162684, 0, 0
0.00162744, 0, 1
0.00163019, 0, 0
0.00163079, 1, 0
0.00163352, 0, 0
0.00163412, 0, 1
0.00163687, 0, 0
0.00163747, 1, 0
0.00164020, 0, 0
0.00164080, 0, 1
0.00164355, 0, 0
0.00164415, 1, 0
0.00164688, 0, 0
0.00164748, 0, 1
0.00165023, 0, 0
0.00165083, 1, 0
0.00165356, 0, 0
0.00165416, 0, 1
0.00165691, 0, 0
0.00165751, 1, 0
0.00166024, 0, 0
0.00166084, 0, 1
0.00166359, 0, 0
0.00166419, 1, 0
0.00166692, 0, 0
0.00166752, 0, 1
0.00167027, 0, 0
0.00167087, 1, 0
0.00167360, 0, 0
0.00167420, 0, 1
0.00167695, 0, 0
0.00167754, 1, 0
0.00168028, 0, 0
0.00168088, 0, 1
0.00168363, 0, 0
0.00168422, 1, 0
0.00168696, 0, 0
0.00168756, 0, 1
0.00169031, 0, 0
0.00169090, 1, 0
0.00169364, 0, 0
0.00169424, 0, 1
0.00169699, 0, 0
0.00169758, 1, 0
0.00170032, 0, 0
0.00170092, 0, 1
0.00170366, 0, 0
0.00170426, 1, 0
0.00170700, 0, 0
0.00170760, 0, 1
0.00171034, 0, 0
0.00171094, 1, 0
0.00171368, 0, 0
0.00171427, 0, 1
0.00171702, 0, 0
0.00171762, 1, 0
0.00172036, 0, 0
0.00172095, 0, 1
0.00172370, 0, 0
0.00172430, 1, 0
0.00172704, 0, 0
0.00172763, 0, 1
0.00173038, 0, 0
0.00173098, 1, 0
0.00173372, 0, 0
0.00173431, 0, 1
0.00173706, 0, 0
0.00173766, 1, 0
0.00174040, 0, 0
0.00174099, 0, 1
0.00174374, 0, 0
0.00174434, 1, 0
0.00174708, 0, 0
0.00174767, 0, 1
0.00175042, 0, 0
0.00175102, 1, 0
0.00175376, 0, 0
0.00175435, 0, 1
0.00175710, 0, 0
0.00175770, 1, 0
0.00176044, 0, 0
0.00176103, 0, 1
0.00176378, 0, 0
0.00176438, 1, 0
0.00176711, 0, 0
0.00176771, 0, 1
0.00177046, 0, 0
0.00177106, 1, 0
0.00177379, 0, 0
0.00177439, 0, 1
0.00177714, 0, 0
0.00177774, 1, 0
0.00178047, 0, 0
0.00178107, 0, 1
0.00178382, 0, 0
0.00178442, 1, 0
0.00178715, 0, 0
0.00178775, 0, 1
0.00179050, 0, 0
0.00179110, 1, 0
0.00179383, 0, 0
0.00179443, 0, 1
0.00179718, 0, 0
0.00179778, 1, 0
0.00180051, 0, 0
0.00180111, 0, 1
0.00180386, 0, 0
0.00180446, 1, 0
0.00180719, 0, 0
0.00180779, 0, 1
0.00181054, 0, 0
0.00181114, 1, 0
0.00181387, 0, 0
0.00181447, 0, 1
0.00181722, 0, 0
0.00181782, 1, 0
0.00182055, 0, 0
0.00182115, 0, 1
0.00182390, 0, 0
0.00182450, 1, 0
0.00182723, 0, 0
0.00182783, 0, 1
0.00183058, 0, 0
0.00183118, 1, 0
0.00183391, 0, 0
0.00183451, 0, 1
0.00183726, 0, 0
0.00183786, 1, 0
0.00184059, 0, 0
0.00184119, 0, 1
0.00184394, 0, 0
0.00184453, 1, 0
0.00184727, 0, 0
0.00184787, 0, 1
0.00185062, 0, 0
0.00185122, 1, 0
0.00185395, 0, 0
0.00185455, 0, 1
0.00185730, 0, 0
0.00185789, 1, 0
0.00186063, 0, 0
0.00186123, 0, 1
0.00186398, 0, 0
0.00186457, 1, 0
0.00186731, 0, 0
0.00186791, 0, 1
0.00187065, 0, 0
0.00187125, 1, 0
0.00187399, 0, 0
0.00187458, 0, 1
0.00187733, 0, 0
0.00187793, 1, 0
0.00188067, 0, 0
0.00188126, 0, 1
0.00188401, 0, 0
0.00188461, 1, 0
0.00188735, 0, 0
0.00188794, 0, 1
0.00189069, 0, 0
0.00189129, 1, 0
0.00189403, 0, 0
0.00189462, 0, 1
0.00189737, 0, 0
0.00189797, 1, 0
0.00190071, 0, 0
0.00190130, 0, 1
0.00190405, 0, 0
0.00190465, 1, 0
0.00190739, 0, 0
0.00190798, 0, 1
0.00191073, 0, 0
0.00191133, 1, 0
0.00191407, 0, 0
0.00191466, 0, 1
0.00191741, 0, 0
0.00191801, 1, 0
0.00192075, 0, 0
0.00192134, 0, 1
0.00192409, 0, 0
0.00192469, 1, 0
0.00192743, 0, 0
0.00192802, 0, 1
0.00193077, 0, 0
0.00193137, 1, 0
0.00193410, 0, 0
